symbol,market_cap
GT,1133103428
GUN,48258396
GUSD,44116179
GWEI,56655026
GXC,27115000
GYD,24026505
H,237276189
HASH,921852862
HBAR,4276580654
HBD,33706916
HDX,14558521
HEGIC,13575108
HEZ,34784144
HFUN,14027605
HIVE,34451363
HLDR,33516565
HNT,257909279
HOLO,20879451
HOME,102358339
HONEY,18462253
HOT,67776986
HP,22655222
HSK,56486794
HT,23146259
HTX,1517374525
HUMA,20631909
HUNT,19545481
HYPE,6572323095
HYPER,22240943
HYUSD,17279465
IAG,19950670
IAUON,13388044
ICNT,98353057
ICP,1209579392
ICX,40274609
ID,19203529
IDOL,20481508
IEFAON,16870861
ILV,34193874
IMX,143475249
IN,19716642
INC,20324137
INI,81769433
INIT,15644330
INJ,325079809
INX,27191119
IO,33029016
IOST,38348679
IOTA,295395877
IOTX,42970886
IP,358057710
IQ,29622579
IR,15398702
IRYS,43058799
ISLM,65473255
IUSD,169975997
IVVON,21978549
JAAA,722819743
JASMY,287814681
JCT,17847938
JELLYJELLY,62723919
JOE,14631346
JPYC,17626726
JST,400181531
JTO,127182463
JTRSY,567775395
JUP,491982629
JUPUSD,64489048
JUSD,85207208
KAG,16405596
KAIA,321736148
KAITO,78513796
KAS,796606368
KAU,397625664
KAVA,52622537
KCS,1137420322
KCT,24417093
KEEP,16152865
KERNEL,22907599
KGEN,37228388
KITE,472794311
KLED,15962873
KMNO,90880282
KNC,22503337
KNTQ,34190302
KOGE,162239193
KSM,94429573
KTA,126143093
KUB,87537749
KUJI,30629900
LA,47051629
LAVA,26654923
LAYER,17694077
LBT,54451521
LCX,40899357
LDO,264250855
LEO,8006385688
LHYPE,13022897
LIBERTY,17978993
LINEA,70248068
LINK,6234750743
LION,122503361
LISTA,23908839
LISUSD,37550672
LIT,357694009
LIUSD,28307772
LMTS,14447598
LON,34044820
LPT,116915027
LQTY,26630135
LRC,41304199
LSK,29700487
LTC,4185064442
LUCIC,18681745
LUNA,42934558
LUNC,195557559
LUSD,31135713
LUX,94812391
LYN,68489041
M,2483812787
MAG7.SSI,82215713
MAGIC,20836425
MAGMA,19144990
MANA,183124116
MANTA,30459341
MAPO,21078908
MAPOLLO,16387965
MARSMI,22777638
MASK,42758749
MAX,17734139
MBC,14155361
MBG,67551148
MBL,17753876
ME,51486712
MED,24774265
MELANIA,106730262
MEME,40124001
MERC,16496471
MERL,52452135
MET,90990414
META,16694202
METAL,60430680
METIS,23738772
MEW,54348395
MEY,28766385
MF-ONE,104604110
MGG,28376290
MGO,31860590
MHYPER,59979659
MIMATIC,27622067
MINA,74321930
MIRA,17557487
MLK,29401210
MMEV,23146433
MMT,25097277
MMUI,19275698
MMX,16297016
MNEE,101540667
MNGO,34553269
MNT,1968270133
MOCA,64018977
MOG,64417181
MON,219752933
MOODENG,52019857
MORPHO,663032545
MOVE,73710314
MOVR,14167162
MPLX,15819939
MSTRX,17656726
MSUSD,20244994
MSY,18581922
MSYRUPUSDP,14265365
MTBILL,47482402
MTL,23842867
MUBARAK,14329771
MUON,33188875
MUSD,18541425
MVL,38829239
MWC,124794894
MWXT,24944122
MX,164799670
MYX,79240262
NAORIS,18997761
NCT,12859048
NEAR,1361048001
NEET,23880778
NEIRO,29334026
NEO,189436738
NEWT,14310648
NEXO,853536328
NFT,330592422
NIGHT,951633561
NIL,15200304
NILA,69193483
NIZA,47363814
NKYC,31622265
NMR,64142463
NOCK,14995427
NOM,12946904
NOT,36776994
NOW,41721077
NPC,60919757
NUSD,230597017
NVDAON,23225933
NVDAX,21729122
NXM,94238163
NXPC,67740798
NXUSD,18564658
NYC,26217623
NYM,21728632
OCEAN,20692146
OFT,56223585
OG,14055363
OGN,13900844
OHM,268868268
OHO,16679938
OKB,1602517978
OM,79484792
OMI,34113888
OMNI,47842122
ONDO,1277413284
ONE,36854430
ONG,28356218
ONT,39699485
ONYC,109088492
OP,254365439
OPEN,32968315
ORBS,48491132
ORCA,56478178
ORDER,25052211
ORDI,51243824
ORE,27555628
ORI,16922499
OSMO,27229665
OUSG,747782486
OZA,21608874
OZO,124362167
PAAL,16134971
PARTI,24501533
PAXG,2417862922
PC0000023,100846154
PC0000031,189500000
PCI,60561711
PCOCK,14742431
PEAQ,30206676
PENDLE,213747465
PENGU,433911853
PEOPLE,32657762
PEP,22992863
PEPE,1705859418
PGOLD,100666029
PHA,19964688
PI,1583813918
PIEVERSE,99369787
PINKSALE,21439046
PIPPIN,765668408
PLLD,18566545
PLUME,48848139
PM,33831619
PNKSTR,14664776
PNUT,46446638
POKT,30150810
POL,1211924395
POLYX,53116339
POND,19708913
PONKE,17710566
POPCAT,48805203
POWER,156957898
POWR,33308636
PRDT,26927990
PRIME,27277762
PRO,21374993
PROM,23256777
PROVE,57147210
PSP,29715702
PTGC,23779233
PUFF,69523578
PUMP,1053233674
PUNCH,30579275
PUNDIX,40599959
PURR,40008078
PUSD,120169267
PYBOBO,14600310
PYTH,302255971
PYTHIA,55285110
PYUSD,4110308247
Q,82345750
QAI,56933276
QANX,28103257
QI,13032109
QIE,16815394
QKA,16868132
QKC,23702481
QNT,920046583
QQQON,23997582
QQQX,15454551
QRL,115296184
QTUM,96000928
QUAI,38837322
QUBIC,61744326
RAIL,67333574
RAIN,4505632413
RARE,15264880
RAVE,62352789
RAY,168234323
REACT,13002048
REAL,14063565
RED,50036125
REI,29118730
REKT,72671905
RENDER,745998340
REQ,47598577
RESOLV,24421876
REUSD,38447964
REZ,13608999
RIF,32504039
RIVER,185274109
RLB,133727903
RLC,29122782
RLP,47885942
RLUSD,1558471552
ROLL,15708209
RON,78299894
ROSE,96648949
RPL,43840559
RSR,93685064
RSTETH,19242613
RUJI,18677352
RUNE,141620004
RVN,93976781
RYZE,28116439
S,154116065
SAFE,34580568
SAHARA,42810174
SAI,26197657
SAND,220407194
SANTOS,24222203
SAPIEN,22363256
SATS,22997168
SATUSD,155995950
SAUCE,14922408
SB,37008974
SC,62612592
SCRT,27001047
SDEX,25558620
SDL,13377005
SEDA,15124646
SEI,465783767
SENT,167314816
SFP,130018280
SGB,27188777
SHFL,92406795
SHIB,3592393716
SHX,30575199
SIGN,39013481
SINGULARRY,45448746
SIREN,270979327
SKL,39959997
SKR,26121178
SKY,1537180937
SKYAI,42673529
SLP,21329954
SLVON,39598150
SN115,24407930
SN120,34996749
SN3,24609707
SN4,32011918
SN44,27219641
SN51,27394707
SN56,17060021
SN62,32637545
SN64,77634353
SN75,18322231
SN8,31031190
SN9,16896591
SNEK,41623420
SNT,42629625
SNX,127128983
SOL,47573027668
SOLO,26434376
SOLVBTC.JUP,25985996
SOMI,33423022
SONIC,17325838
SOON,73404057
SOPH,18471411
SOSANA,16209473
SOSO,95895988
SPACE,19325721
SPELL,31065153
SPK,49774620
SPKCC,13955280
SPX,283293461
SPYON,28666491
SPYX,17827289
SQD,39595763
SRX,38535651
SSV,43506365
STABLE,533197624
STAC,105950763
STBL,17122629
STEEM,30876832
STG,27753836
STO,13283112
STON,13552870
STORJ,13689172
STRAX,30196782
STRK,231474889
STRX,19360042
STX,459201478
SUI,3487527228
SUN,318519627
SUPER,71087302
SUSD,27368667
SUSHI,55458668
SVL,31134509
SWFTC,37549646
SWOP,82557145
SXP,15041715
SXT,64213559
SYRUP,262216684
T,72284325
TAG,40028738
TAIKO,23559079
TAO,1717003805
TBK,39327548
TCY,22371649
TDCCP,70029576
TEL,246678869
TEMPLE,74078069
TERA,15027565
TFUEL,100669680
TGT,12937665
THBILL,143469603
THE,30707532
THETA,188052929
TIA,287482928
TIBBIR,178833244
TKX,105821189
TLTON,19382774
TNSR,16421578
TON,27801470
TORN,31535617
TOSHI,88889400
TPT,22524567
TRAC,140122956
TRADOOR,21523524
TRB,40189109
TREE,21411543
TRIA,47132923
TRIBE,13313428
TROLL,16177355
TRUMP,806182975
TRUST,13407496
TRUTH,19640446
TRX,27055637801
TSLAON,13576153
TSLAX,52742246
TURBO,70305659
TUSD,494042541
TWT,212867878
UAI,57600827
UB,103073861
UCN,70050189
UDS,219360297
UFART,12971324
ULT,13855868
ULTIMA,200724788
UMA,41877303
UNI,2322300711
UNP,44438622
UPUMP,57092940
UQC,28007667
USAT,20002224
USD+,47459708
USD0,562616983
USD1,4692325962
USDA,90093633
USDAI,461850226
USDC,74945316674
USDCV,26271753
USDD,748160973
USDE,6073711682
USDF,149964737
USDG,1623371076
USDH,21360199
USDKG,49995422
USDM,13289050
USDN,25901997
USDO,61918957
USDON,43058377
USDP,47557059
USDR,100442418
USDS,9925953040
USDT,183610709990
USDTB,834429559
USDU,67703076
USDX,44434207
USDY,703328940
USDZ,93153565
USELESS,41450504
USN,31529301
USR,100675677
USTB,1193213836
USTBL,32007076
USTC,27250443
USUAL,21437624
USX,338566486
USYC,1588052579
UTY,20974937
UXPL,32572230
VANA,45173105
VBILL,78070080
VCNT,82339301
VEE,26458556
VELO,16579024
VELVET,20635915
VENOM,55337141
VET,637181962
VINE,17044796
VIRTUAL,453491095
VR,43131047
VRSC,58747307
VSN,189724333
VTHO,59408261
VULT,23715741
VVS,65119021
VVV,181875669
W,105860177
WAL,123270945
WAR,17310017
WAVES,47074551
WAXP,29058615
WBT,10518376819
WELL,19673943
WEMIX,140271666
WEMIX$,14273863
WET,20631803
WETH,16518976
WFI,170165217
WHITE,29075358
WHITEWHALE,55301422
WIF,203549766
WILD,15034487
WIN,21075549
WKC,28775098
WLD,1151052234
WLFI,3166624763
WMTX,60375876
WOO,30533845
WOULD,46489421
WRX,17334129
WUSD,17656431
XAI,16935608
XAN,18137914
XAUM,81355526
XAUT,2689902161
XBG,13338868
XCH,46244877
XCM,15833138
XCN,182379987
XDAI,93292066
XDC,673264014
XEC,155862252
XLM,5153561260
XMR,6237210405
XNO,68548027
XNY,14524450
XP,16937167
XPIN,24393264
XPL,202452970
XPR,61452764
XRD,29820054
XRP,85401040855
XSGD,13813748
XT,21452772
XTUSD,32792487
XTZ,411351523
XUSD,47961126
XVG,98674541
XVS,53774283
XYO,57372521
YB,14225818
YFI,96685140
YGG,29198651
YLDS,219245553
YOCHI,14760633
YOUSD,28740934
YUSD,38703520
YZY,43087464
ZAMA,47924293
ZANO,121352685
ZBCN,211013506
ZBT,17649839
ZCHF,34938551
ZEC,4018224353
ZEN,99312600
ZENT,29410706
ZETA,70110998
ZIG,49035682
ZIL,85657017
ZK,183599731
ZKC,20329445
ZKP,17215612
ZORA,88653040
ZRO,304182763
ZRX,90410522
哈基米,13390279
币安人生,61838294
